id,city,type,squareMeters,rooms,floor,floorCount,buildYear,latitude,longitude,centreDistance,poiCount,schoolDistance,clinicDistance,postOfficeDistance,kindergartenDistance,restaurantDistance,collegeDistance,pharmacyDistance,ownership,buildingMaterial,condition,hasParkingSpace,hasBalcony,hasElevator,hasSecurity,hasStorageRoom,price
be4edd8fa0ad850c0f6a51c7fa66787c,krakow,blockOfFlats,53.0,3.0,2.0,3.0,,50.02203921,20.05125747,8.87,6.0,0.783,3.719,0.154,0.1,0.079,3.699,0.178,condominium,,,no,yes,no,no,no,2700
bebccfbfba49b9ccc75a1fbdf0aebc63,krakow,tenement,45.0,2.0,1.0,1.0,,50.0467762,19.95440561,1.48,37.0,0.327,0.624,0.35,0.673,0.039,0.925,0.316,condominium,brick,premium,yes,no,no,no,no,3500
ce9166b72f670c8af4261d33f6106304,krakow,blockOfFlats,47.0,3.0,4.0,4.0,1977.0,50.0928168,19.92735258,4.25,20.0,0.286,0.514,0.229,0.043,0.3,1.045,0.18,condominium,concreteSlab,,no,yes,no,no,no,2200
4dda3362b47540d17615004daeb4f815,krakow,blockOfFlats,85.1,3.0,2.0,2.0,2000.0,50.043783,19.9542308,1.71,38.0,0.214,0.809,0.26,0.344,0.158,1.203,0.307,condominium,brick,,yes,yes,no,no,yes,4500
876272e7a18c7a5755678b20cdcf7e84,krakow,tenement,68.0,2.0,2.0,2.0,1930.0,50.0690154,19.9173452,2.14,33.0,0.149,0.422,0.298,0.245,0.142,0.405,0.193,condominium,brick,,no,yes,no,no,no,3400
e3703eb634188a6d965a4ee981872499,krakow,apartmentBuilding,54.0,2.0,6.0,10.0,2019.0,50.06158135,19.97177567,2.48,13.0,0.439,0.549,0.423,0.125,0.141,0.785,0.393,condominium,brick,premium,yes,yes,yes,no,no,4000
cfe31b8dce12f6a6fe491f6db7048df4,krakow,blockOfFlats,36.0,2.0,1.0,6.0,2021.0,50.0663249,19.986472,3.64,8.0,0.759,0.29,0.643,0.285,0.306,1.765,0.792,condominium,,premium,yes,yes,yes,no,no,3250
62d1ebac9d2a8ab829822372fe291850,krakow,tenement,65.0,2.0,,3.0,1902.0,50.0629166,19.9469367,1.04,72.0,0.372,0.195,0.258,0.558,0.278,0.643,0.189,condominium,brick,,no,yes,yes,yes,no,4500
580c64f93e3f080c3c6b224d3e16b32f,krakow,tenement,70.0,3.0,2.0,2.0,,50.057,19.9405,0.24,114.0,0.178,0.767,0.326,0.247,0.097,0.332,0.241,condominium,brick,,yes,no,no,no,no,3400
f224fa04c530bdaa993f517f4a0988e6,krakow,apartmentBuilding,38.0,2.0,,5.0,2007.0,50.0759556,19.90571,3.28,13.0,0.456,0.691,0.496,0.044,0.121,0.826,0.332,condominium,brick,premium,yes,yes,yes,no,no,2800
